lat,lng,type,risk
31.3246991,75.5713389,node,0
31.3247374,75.5742256,node,0
31.3211894,75.5701111,node,0
31.3211513,75.5701239,node,0
31.3213555,75.5701006,node,0
31.3212001,75.5702149,node,0
31.3211378,75.5701338,node,0
31.3210713,75.5700099,node,0
31.320109,75.572741,node,0
31.3200527,75.5732612,node,0
31.3201184,75.5723818,node,0
31.3202415,75.5724196,node,0
31.322557,75.5708722,node,0
31.3226478,75.5706766,node,0
31.3225269,75.5706554,node,0
31.3224905,75.5709395,node,0
31.3226114,75.5709607,node,0
31.3236639,75.5743097,node,0
31.3235181,75.5744207,node,0
31.3235911,75.5744857,node,0
31.3237281,75.5742751,node,0
31.3236552,75.5742101,node,0
31.3231255,75.5704182,node,0
31.3232961,75.5703927,node,0
31.3232825,75.5705138,node,0
31.3230719,75.5704814,node,0
31.3230855,75.5703603,node,0
31.323664,75.5716793,node,0
31.3236033,75.5718536,node,0
31.3236755,75.5718881,node,0
31.3237362,75.5717137,node,0
31.323348,75.5722197,node,0
31.3231761,75.5721728,node,0
31.3232035,75.5720356,node,0
31.3233753,75.5720825,node,0
31.3231965,75.5708578,node,0
31.3231805,75.5710845,node,0
31.3232802,75.5710942,node,0
31.3232962,75.5708675,node,0
31.3241792,75.5745595,node,0
31.3240899,75.5747419,node,0
31.3241979,75.5748144,node,0
31.3242872,75.574632,node,0
31.3202994,75.5719073,node,0
31.320107,75.5718094,node,0
31.32014,75.5717204,node,0
31.3203324,75.5718184,node,0
31.3229573,75.5706657,node,0
31.3226973,75.5706375,node,0
31.32272,75.5703498,node,0
31.3229801,75.570378,node,0
31.323274,75.572128,node,0
31.324162,75.574654,node,0
31.3236751,75.5717506,node,0
31.3202473,75.5718327,node,0
31.322839,75.570535,node,0
31.323243,75.571044,node,0
31.3229437,75.5740332,node,0
31.323373,75.5743356,node,0
31.3226697,75.5731741,node,0
31.3229136,75.572513,node,0
31.3228177,75.5724758,node,0
31.3234508,75.5738291,node,0
31.3234358,75.572088,node,0
31.3234688,75.5717528,node,0
31.3210757,75.5742672,node,0
31.3210897,75.5741613,node,0
31.322496,75.5739903,node,0
31.3216603,75.5730763,node,0
31.321654,75.5730572,node,0
31.3216545,75.5730341,node,0
31.3228875,75.574166,node,0
31.3228583,75.5741706,node,0
31.3228758,75.574172,node,0
31.3221041,75.5745196,node,0
31.321826,75.574693,node,0
31.3202282,75.5749954,node,0
31.3235259,75.573657,node,0
31.3235133,75.5736952,node,0
31.3235322,75.5736288,node,0
31.3235351,75.5735739,node,0
31.3249832,75.5714871,node,0
31.3246412,75.5713684,node,0
31.3246573,75.5713503,node,0
31.3246744,75.5713389,node,0
31.3228101,75.5724683,node,0
31.3228056,75.5724555,node,0
31.3228029,75.5724299,node,0
31.3228053,75.572392,node,0
31.3223305,75.5714499,node,0
31.3223571,75.5714442,node,0
31.3223789,75.5714345,node,0
31.3205518,75.5708467,node,0
31.3206217,75.57072,node,0
31.3211075,75.5712873,node,0
31.3216737,75.5708804,node,0
31.3215765,75.5710747,node,0
31.3215766,75.5711213,node,0
31.3212673,75.5732681,node,0
31.3210936,75.5737968,node,0
31.3201829,75.5730441,node,0
31.3229271,75.5725709,node,0
31.3229302,75.5725509,node,0
31.3229299,75.5725384,node,0
31.3229253,75.5725263,node,0
31.3218897,75.5701137,node,0
31.3203013,75.570288,node,0
31.3206607,75.5706708,node,0
31.3202246,75.5703926,node,0
31.3245307,75.5712655,node,0
31.3217007,75.5723367,node,0
